generation,average fitness hot,average fitness cold,fittest hot,fittest cold
0,13.833333333333334,6.166666666666667,20,18
1,17.066666666666666,2.933333333333333,20,10
2,18.233333333333334,1.7666666666666666,20,6
3,18.9,1.1,20,3
4,18.966666666666665,1.0333333333333334,20,3
5,18.866666666666667,1.1333333333333333,20,4
6,18.766666666666666,1.2333333333333334,20,6
7,18.933333333333334,1.0666666666666667,20,4
8,18.766666666666666,1.2333333333333334,20,4
9,18.966666666666665,1.0333333333333334,20,4
10,18.9,1.1,20,3
11,18.9,1.1,20,3
12,19.066666666666666,0.9333333333333333,20,3
13,19.066666666666666,0.9333333333333333,20,3
14,19.0,1.0,20,3
15,19.133333333333333,0.8666666666666667,20,4
16,19.233333333333334,0.7666666666666667,20,5
17,19.266666666666666,0.7333333333333333,20,3
18,19.2,0.8,20,3
19,19.133333333333333,0.8666666666666667,20,3
20,19.133333333333333,0.8666666666666667,20,4
21,19.266666666666666,0.7333333333333333,20,3
22,19.333333333333332,0.6666666666666666,20,2
23,19.3,0.7,20,4
24,19.5,0.5,20,2
25,19.333333333333332,0.6666666666666666,20,3
26,19.066666666666666,0.9333333333333333,20,4
27,19.2,0.8,20,4
28,19.066666666666666,0.9333333333333333,20,3
29,19.2,0.8,20,3
