generation,average fitness hot,average fitness cold,fittest hot,fittest cold
0,8.2,11.8,16,20
1,11.366666666666667,8.633333333333333,17,19
2,13.933333333333334,6.066666666666666,18,12
3,15.4,4.6,19,11
4,16.4,3.6,20,9
5,17.6,2.4,20,7
6,18.3,1.7,20,5
7,19.0,1.0,20,4
8,19.2,0.8,20,3
9,19.2,0.8,20,2
10,18.9,1.1,20,4
11,19.166666666666668,0.8333333333333334,20,4
12,19.3,0.7,20,3
13,19.2,0.8,20,3
14,19.333333333333332,0.6666666666666666,20,3
15,19.233333333333334,0.7666666666666667,20,3
16,19.3,0.7,20,3
17,19.233333333333334,0.7666666666666667,20,2
18,19.233333333333334,0.7666666666666667,20,4
19,19.4,0.6,20,2
20,19.1,0.9,20,3
21,19.0,1.0,20,6
22,19.0,1.0,20,5
23,18.933333333333334,1.0666666666666667,20,3
24,18.733333333333334,1.2666666666666666,20,4
25,19.033333333333335,0.9666666666666667,20,3
26,18.866666666666667,1.1333333333333333,20,3
27,19.033333333333335,0.9666666666666667,20,3
28,19.166666666666668,0.8333333333333334,20,4
29,18.966666666666665,1.0333333333333334,20,4
